Date,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2017-01-07,Albert Park,126 Mills St,2,h,1535000.0,S,Greg,2017-01-07,3.0,3206.0,2.0,1.0,0.0,171.0,,1900.0,Port Phillip City Council,-37.8481,144.9566,Southern Metropolitan,3280.0
2017-01-07,Airport West,9 South Rd,3,h,961000.0,S,Nelson,2017-01-07,10.4,3042.0,3.0,1.0,2.0,717.0,,1950.0,Moonee Valley City Council,-37.72274,144.88002,Western Metropolitan,3464.0
2017-01-07,Albion,2 Bazentin St,3,h,570000.0,S,Barry,2017-01-07,10.5,3020.0,3.0,1.0,0.0,423.0,142.0,1920.0,Brimbank City Council,-37.77917,144.82223,Western Metropolitan,2185.0
2017-01-07,Alphington,6 Como St,4,h,2345000.0,S,Jellis,2017-01-07,5.7,3078.0,4.0,2.0,2.0,803.0,,,Darebin City Council,-37.78122,145.0336,Northern Metropolitan,2211.0
2017-01-07,Airport West,118 Marshall Rd,3,h,640000.0,S,Nelson,2017-01-07,10.4,3042.0,3.0,1.0,2.0,219.0,101.37,1960.0,Moonee Valley City Council,-37.71655,144.88155,Western Metropolitan,3464.0
2017-01-07,Airport West,1/9 Kitson Cr,2,u,593000.0,S,Nelson,2017-01-07,10.4,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0
2017-01-07,Bayswater,18B Orchard Rd,3,t,640000.0,S,Fletchers,2017-01-07,23.2,3153.0,3.0,2.0,1.0,187.0,125.0,2010.0,Knox City Council,-37.83909,145.26075,Eastern Metropolitan,5030.0
2017-01-07,Donvale,1 Bernarra Ct,7,h,2705000.0,S,Ray,2017-01-07,16.1,3111.0,7.0,2.0,4.0,5022.0,409.54,2004.0,Manningham City Council,-37.76598,145.19329,Eastern Metropolitan,4790.0
2017-01-07,Balwyn North,2/43 Sutton St,3,h,1275000.0,VB,Fletchers,2017-01-07,9.7,3104.0,3.0,2.0,2.0,226.0,127.0,1965.0,Boroondara City Council,-37.79495,145.08192,Southern Metropolitan,7809.0
2017-01-07,Avondale Heights,12a Doyle St,3,u,622000.0,S,Moonee,2017-01-07,9.5,3034.0,3.0,1.0,1.0,204.0,,,Moonee Valley City Council,-37.76215,144.85986,Western Metropolitan,4502.0
2017-01-07,Balwyn North,15 Harrington Av,6,h,,SP,Fletchers,2017-01-07,9.7,3104.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809.0
2017-01-07,Attwood,91 Stonebridge Wy,5,h,1025000.0,S,Stockdale,2017-01-07,16.5,3049.0,,,,,,,Hume City Council,,,Northern Metropolitan,1130.0
2017-01-07,Altona North,30 Marigold Av,3,h,,PN,Gunn&Co,2017-01-07,9.4,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
2017-01-07,Ashwood,4 Wippa Ct,3,h,1225000.0,S,hockingstuart,2017-01-07,10.2,3147.0,3.0,1.0,2.0,770.0,,,Monash City Council,-37.87257,145.09782,Southern Metropolitan,2894.0
2017-01-07,Alphington,91 Lucerne Cr,4,h,,S,Kay,2017-01-07,5.7,3078.0,,,,,,,Darebin City Council,,,Northern Metropolitan,2211.0
2017-01-07,Altona North,4/7 Prentice St,2,t,650000.0,SP,RT,2017-01-07,9.4,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
2017-01-07,Ascot Vale,40 Moonee St,4,h,,SP,Brad,2017-01-07,4.3,3032.0,4.0,2.0,2.0,821.0,153.0,1900.0,Moonee Valley City Council,-37.77491,144.92463,Western Metropolitan,6567.0
2017-01-07,Ascot Vale,92 Langs Rd,3,h,950000.0,S,Rendina,2017-01-07,4.3,3032.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567.0
2017-01-07,Ardeer,22 Lawrence St,2,h,480000.0,S,Sweeney,2017-01-07,12.8,3022.0,,,,,,,Brimbank City Council,,,Western Metropolitan,1281.0
2017-01-07,Armadale,52 Adelaide St,5,h,5200000.0,SP,Marshall,2017-01-07,6.3,3143.0,5.0,3.0,3.0,761.0,,,Stonnington City Council,-37.85311,145.02847,Southern Metropolitan,4836.0
2017-01-07,Avondale Heights,41 Herbert St,3,h,825000.0,SP,McDonald,2017-01-07,9.5,3034.0,3.0,1.0,4.0,603.0,,,Moonee Valley City Council,-37.76616,144.8575,Western Metropolitan,4502.0
2017-01-07,Balwyn,38 Belmore Rd,4,h,1475000.0,PI,Jellis,2017-01-07,7.9,3103.0,4.0,3.0,5.0,380.0,,,Boroondara City Council,-37.80156,145.06715,Southern Metropolitan,5682.0
2017-01-07,Balwyn,8 Madang Av,5,h,3050000.0,VB,Jellis,2017-01-07,7.9,3103.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,5682.0
2017-01-07,Altona Meadows,3 Parham Ct,3,h,,SN,Barry,2017-01-07,15.5,3028.0,3.0,1.0,3.0,568.0,142.1,1980.0,Hobsons Bay City Council,-37.87931,144.78753,Western Metropolitan,7630.0
2017-01-07,Balwyn North,466 Balwyn Rd,4,h,,S,Fletchers,2017-01-07,9.7,3104.0,4.0,2.0,2.0,613.0,,,Boroondara City Council,-37.78223,145.08747,Southern Metropolitan,7809.0
2017-01-07,Balwyn North,50 Corhampton Rd,5,h,2160000.0,S,Noel,2017-01-07,9.7,3104.0,5.0,1.0,2.0,860.0,,,Boroondara City Council,-37.79888,145.06649,Southern Metropolitan,7809.0
2017-01-07,Balwyn North,2/18 Doncaster Rd,3,t,1050000.0,PI,Ray,2017-01-07,9.7,3104.0,3.0,3.0,2.0,200.0,,,Boroondara City Council,-37.79362,145.0652,Southern Metropolitan,7809.0
2017-01-07,Altona North,151 Chambers Rd,3,h,900000.0,S,Greg,2017-01-07,9.4,3025.0,3.0,1.0,2.0,672.0,110.0,1960.0,Hobsons Bay City Council,-37.8265,144.84386,Western Metropolitan,5132.0
2017-01-07,Cheltenham,105 Wilson St,3,h,1116000.0,S,Ray,2017-01-07,17.9,3192.0,3.0,1.0,2.0,610.0,,,Bayside City Council,-37.95629,145.06031,Southern Metropolitan,9758.0
2017-01-07,Craigieburn,13 Brampton Cl,3,h,515500.0,S,RE,2017-01-07,20.6,3064.0,3.0,1.0,4.0,651.0,117.0,1990.0,Hume City Council,-37.60329,144.93948,Northern Metropolitan,15510.0
