Date,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2018-01-20,Mount Waverley,1/7 Vasey Av,4,t,1200800.0,SP,Ray,2018-01-20,14.2,3149.0,,,,,,,Monash City Council,,,Eastern Metropolitan,13366.0
2018-01-20,Deer Park,51 Mawson Av,3,h,,PI,HAR,2018-01-20,14.8,3023.0,3.0,2.0,3.0,542.0,138.0,1975.0,Brimbank City Council,-37.75633,144.7711,Western Metropolitan,6388.0
2018-01-20,Ferntree Gully,4 Shannon Av,3,h,,VB,McGrath,2018-01-20,24.8,3156.0,3.0,1.0,2.0,1065.0,202.0,1950.0,Knox City Council,-37.87592,145.2894,Eastern Metropolitan,10788.0
2018-01-20,Kew,1/505 High St,2,u,515000.0,VB,Jellis,2018-01-20,5.4,3101.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10331.0
2018-01-20,Kilsyth,22 Colchester Rd,3,h,650000.0,SP,McGrath,2018-01-20,26.0,3137.0,3.0,1.0,1.0,623.0,110.0,1950.0,Maroondah City Council,-37.80416,145.30734,Eastern Metropolitan,4654.0
2018-01-20,Knoxfield,6 Honeypot Cl,5,h,935000.0,S,Ray,2018-01-20,23.3,3180.0,5.0,3.0,2.0,528.0,261.0,1992.0,Knox City Council,-37.87515,145.25241,Eastern Metropolitan,2949.0
2018-01-20,Melton South,3/10 Station Rd,2,h,300000.0,VB,PRDNationwide,2018-01-20,29.8,3338.0,,,,,,,Melton City Council,,,Western Victoria,4718.0
2018-01-20,Plumpton,30 Aubisque Cl,4,h,,PI,YPA,2018-01-20,23.8,3335.0,,,,,,,Melton City Council,,,Western Metropolitan,1490.0
2018-01-20,Reservoir,17 Crevelli St,3,h,,PI,Purplebricks,2018-01-20,12.0,3073.0,3.0,1.0,2.0,,,,Darebin City Council,-37.73097,145.02951,Northern Metropolitan,21650.0
2018-01-20,Ringwood East,1/84 Dublin Rd,3,u,700000.0,SP,Real,2018-01-20,21.3,3135.0,,,,,,,Maroondah City Council,,,Eastern Metropolitan,4407.0
2018-01-20,Rosanna,3 Pickworth Ct,4,h,1180000.0,SP,Fletchers,2018-01-20,8.9,3084.0,4.0,2.0,2.0,628.0,,,Banyule City Council,-37.73675,145.06889,Eastern Metropolitan,3540.0
2018-01-20,Seaford,10 Harold St,3,h,760000.0,SP,Mitchell,2018-01-20,35.4,3198.0,3.0,1.0,1.0,671.0,124.0,1963.0,Frankston City Council,-38.10309,145.13228,South-Eastern Metropolitan,8077.0
2018-01-20,Wallan,20 The Heights,3,h,,PI,Ruralco,2018-01-20,44.2,3756.0,3.0,2.0,2.0,23970.0,297.0,2005.0,Mitchell Shire Council,-37.3902,144.9798,Northern Victoria,3988.0
2018-01-20,Wallan,2A Windham St,3,h,430000.0,SP,Barry,2018-01-20,44.2,3756.0,3.0,2.0,2.0,683.0,146.0,1990.0,Mitchell Shire Council,-37.41953,144.98206,Northern Victoria,3988.0
2018-01-20,Wantirna,17 Cloverlea Dr,4,h,975000.0,SP,Harcourts,2018-01-20,14.7,3152.0,4.0,2.0,2.0,642.0,152.0,1980.0,Knox City Council,-37.85474,145.24076,Eastern Metropolitan,5424.0
2018-01-20,West Footscray,6/30 Argyle St,1,u,,SP,Burnham,2018-01-20,6.4,3012.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,5058.0
2018-01-20,Dandenong North,4 Crouch Ct,3,h,631000.0,S,McLennan,2018-01-20,24.7,3175.0,3.0,1.0,1.0,557.0,135.0,1980.0,Greater Dandenong City Council,-37.96877,145.22082,South-Eastern Metropolitan,8322.0
2018-01-20,Croydon,9/116 Hull Rd,3,t,,VB,McGrath,2018-01-20,23.0,3136.0,,,,,,,Maroondah City Council,,,Eastern Metropolitan,11925.0
2018-01-20,Airport West,78 King St,5,h,1025000.0,VB,Jellis,2018-01-20,10.4,3042.0,5.0,2.0,3.0,764.0,251.0,1980.0,Moonee Valley City Council,-37.72282,144.88373,Western Metropolitan,3464.0
2018-01-27,Frankston,17 Arabil St,3,h,625000.0,SA,O'Brien,2018-01-27,38.0,3199.0,3.0,1.0,1.0,616.0,115.0,1970.0,Frankston City Council,-38.14541,145.14711,South-Eastern Metropolitan,17055.0
2018-01-27,Noble Park,2/2 Bowmore Rd,2,u,510000.0,S,Area,2018-01-27,22.7,3174.0,2.0,1.0,1.0,,77.0,2014.0,Greater Dandenong City Council,-37.96019,145.17573,South-Eastern Metropolitan,11806.0
2018-01-27,Hoppers Crossing,344 Morris Rd,4,h,610500.0,S,Barry,2018-01-27,18.4,3029.0,4.0,2.0,2.0,,,,Wyndham City Council,-37.85428,144.70592,Western Metropolitan,13830.0
2018-01-27,Wheelers Hill,982 Waverley Rd,4,h,1077000.0,S,Ray,2018-01-27,16.7,3150.0,4.0,2.0,2.0,697.0,,,Monash City Council,-37.89194,145.18994,South-Eastern Metropolitan,7392.0
2018-01-27,Ferntree Gully,73 Commercial Rd,3,h,900000.0,S,Biggin,2018-01-27,24.8,3156.0,3.0,1.0,2.0,1309.0,,,Knox City Council,-37.88221,145.27804,Eastern Metropolitan,10788.0
2018-01-27,Epping,19 Daylesford St,4,h,775000.0,S,Ray,2018-01-27,19.6,3076.0,4.0,2.0,2.0,617.0,210.0,2008.0,Whittlesea City Council,-37.62702,145.02508,Northern Metropolitan,10926.0
2018-01-27,Craigieburn,31 Langdon Cr,3,h,558800.0,SP,RE,2018-01-27,20.6,3064.0,,,,,,,Hume City Council,,,Northern Metropolitan,15510.0
2018-01-27,Ardeer,32 Chelsey St,3,h,620000.0,S,Create,2018-01-27,12.8,3022.0,3.0,1.0,2.0,697.0,,,Brimbank City Council,-37.77459,144.7983,Western Metropolitan,1281.0
2018-01-27,Albion,3/517 Ballarat Rd,2,t,500000.0,PI,Biggin,2018-01-27,10.5,3020.0,,,,,,,Brimbank City Council,,,Western Metropolitan,2185.0
2018-01-27,Yarraville,2/37 Kidman St,1,u,469999.0,SP,Biggin,2018-01-27,6.3,3013.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,6543.0
2018-01-27,Surrey Hills,5 David St,3,h,1550000.0,PI,Fletchers,2018-01-27,10.2,3127.0,3.0,2.0,2.0,307.0,,,Boroondara City Council,-37.82159,145.09521,Southern Metropolitan,5457.0
2018-01-27,Thomastown,19 Harding St,6,h,,PI,Ray,2018-01-27,15.3,3074.0,6.0,2.0,2.0,1177.0,180.0,1950.0,Whittlesea City Council,-37.68325,145.00848,Northern Metropolitan,7955.0
2018-02-17,Mulgrave,396 Wellington Rd,3,h,826396.0,SP,Harcourts,2018-02-17,18.8,3170.0,3.0,1.0,2.0,664.0,,,Monash City Council,-37.91993,145.16603,South-Eastern Metropolitan,7113.0
2018-02-17,Mulgrave,8 Lola St,4,h,825000.0,SA,Barry,2018-02-17,18.8,3170.0,4.0,3.0,2.0,642.0,187.0,1970.0,Monash City Council,-37.92933,145.17404,South-Eastern Metropolitan,7113.0
2018-02-17,Mulgrave,132 Hansworth St,4,h,1080000.0,SA,Barry,2018-02-17,18.8,3170.0,4.0,3.0,2.0,500.0,,,Monash City Council,-37.93121,145.18287,South-Eastern Metropolitan,7113.0
2018-02-17,Mount Waverley,20 Wadham Pde,4,h,1530000.0,SP,Harcourts,2018-02-17,14.2,3149.0,4.0,2.0,1.0,688.0,238.0,1965.0,Monash City Council,-37.87164,145.12466,Eastern Metropolitan,13366.0
2018-02-17,Mount Waverley,19 Trevor Ct,5,h,,SN,LLC,2018-02-17,14.2,3149.0,5.0,5.0,2.0,668.0,400.0,2017.0,Monash City Council,-37.86976,145.14136,Eastern Metropolitan,13366.0
2018-02-17,Mount Waverley,21 Roland St,4,h,940000.0,S,Barry,2018-02-17,14.2,3149.0,4.0,4.0,2.0,327.0,209.0,2011.0,Monash City Council,-37.86032,145.11546,Eastern Metropolitan,13366.0
2018-02-17,Port Melbourne,231A The Boulevard,3,h,1725000.0,VB,Greg,2018-02-17,3.5,3207.0,3.0,2.0,1.0,176.0,,,Melbourne City Council,-37.83913,144.91589,Southern Metropolitan,8648.0
2018-02-17,Reservoir,16 Halsey St,3,h,,SN,Love,2018-02-17,12.0,3073.0,3.0,1.0,2.0,766.0,129.0,1970.0,Darebin City Council,-37.70214,144.98693,Northern Metropolitan,21650.0
2018-02-17,Reservoir,11 Cool St,3,h,936000.0,S,Nelson,2018-02-17,12.0,3073.0,3.0,2.0,2.0,612.0,,,Darebin City Council,-37.72631,144.98608,Northern Metropolitan,21650.0
2018-02-17,Reservoir,4 Clements Gr,2,h,880000.0,SP,Ray,2018-02-17,12.0,3073.0,2.0,1.0,0.0,697.0,131.0,1950.0,Darebin City Council,-37.7144,145.02269,Northern Metropolitan,21650.0
2018-02-17,Reservoir,55 Allenby Av,3,h,900000.0,PI,Ray,2018-02-17,12.0,3073.0,3.0,1.0,2.0,906.0,,,Darebin City Council,-37.70111,145.00461,Northern Metropolitan,21650.0
2018-02-17,Research,2/24 Raglan Rd,2,u,650000.0,S,Barry,2018-02-17,18.0,3095.0,,,,,,,Nillumbik Shire Council,,,Eastern Metropolitan,938.0
